,breed,fur,fur_color,gender,life_expectancy
1095,Golden Retriever,Largo,Dorado,Macho,12
1096,Chihuahua,Corto,Blanco,Macho,20
1097,Bulldog Francés,Corto,Marrón oscuro,Hembra,12
1098,Salchichas teckel patitas cprtas,Corto,negeo fuego,Hembra,15
1099,Doberman mini,Corto,Negro,Macho,10
1100,Golden Retriever,Largo,Dorado,Macho,12
1101,Husky Siberiano,Corto,Blanco,,15
1102,Husky Siberiano,Corto,manto negro o gris,Macho,15
1103,Terrier Escocés,Largo,Trigo,,15
1105,French poodle mini toy,Corto,Blanco,Hembra,15
1106,Pequinés,Largo,amarillo con café,Macho,14
1108,French poodle minitoy,Largo,Blanco,Hembra,20
1109,Rottwailer,Corto,Negro,Macho,12
1110,Labrador Retriever,Corto,Dorado,Hembra,20
1112,Bulldog Francés,Corto,Negro,Macho,14
1115,teckel,Corto,café,Macho,15
1116,Dogo de Burdeos,Corto,Beige,,8
1117,Cocker,Corto,Chocolate,Hembra,15
1118,Pitbull,Corto,Negro,,14
1119,American Bully,Corto,Gris,Hembra,15
1120,Bichón frisé machos y hembras,Largo,Blanco,Hembra,20
1121,Gran Danés,,Smoking,Hembra,
1122,Bulldog Francés,Corto,,,14
1123,Bulldog Inglés,Corto,Lila,Hembra,10
1126,Shitzu,Largo,Tricolores y Blanquitas de pelaje largo..,Hembra,12
1127,Bichón Maltés,,Blanco,,
1130,French poodle minitoy,Largo,Marrón oscuro,Hembra,20
1132,Husky Siberiano,Corto,manto negro o gris,Macho,15
1134,Golden Retriever,Corto,Dorado,Macho,12
1135,Bichón Maltés,Largo,Blanco,Hembra,15
1136,Schnauzer miniatura,Corto,salpimienta,Hembra,17
1138,Bulldog Francés,Corto,Blanco,,14
1139,Cachorros freen poodle minitoy,Corto,blanco y color beis,Macho,15
1140,Pitbull,Corto,Marrón claro,Hembra,14
1141,Dogo Argentino,Corto,Blanco,,12
1142,Cane Corso,Corto,Negro,Macho,12
1143,Bichón Maltés,,Blanco,,
1144,Gran Danés,Corto,Negro,Macho,8
1145,Bulldog Francés,Corto,,,14
1147,West Highland White Terrier,Largo,Blanco,Hembra,15
1149,Ovejero Alemán,Largo,,,13
1150,Pitbull,Corto,Crema,,14
1152,Beagle,Corto,Negro,Hembra,15
1153,Labrador Retriever,Corto,Blanco,Hembra,20
1154,Husky,Corto,Negro,Macho,15
1155,Cocker Spaniel Inglés,Largo,Dorado,,15
1156,Galgo Afgano,Largo,Gris,Macho,
1157,French poodle,Corto,Blanco,Hembra,17
1158,Golden Retriever,Largo,Dorado oscuro,Hembra,10
1160,Cocker pequeño,Largo,café,Hembra,15
1161,French poodle machos y hembras,Largo,Blanco,Hembra,20
1163,Golden Retriever,Largo,Dorado claro,Macho,14
1164,Schnauzer miniatura sal pimienta,Largo,sal pimienta,Macho,15
1165,French castellano,Corto,Blanco,Hembra,50
1167,Shitzu Miniatura,Corto,Bicolor,Macho,12
1168,Bichón Maltés,Largo,Blanco,,2
1171,Doberman,Corto,Negro,,13
1172,Schnauzer,Largo,BLANCO NEGRO SAL Y PIMIENTA,Macho,16
1173,Golden,Corto,Crema,Macho,1
1174,Cachorros French poodle minitoy tasita de te,Largo,Blanco,Hembra,20
1175,Yorkshire Terrier,Largo,,Macho,16
1177,Ovejero Alemán,Largo,,,13
1178,American Staffordshire Terrier,Corto,Negro,Macho,15
1179,FRENCH POODLE TOY,Largo,Blanco,Hembra,15
1181,Chihuahua,Corto,Blanco Y CREMA,Hembra,15
1182,Shih Tzu,Largo,Tricolor,Hembra,16
1183,Golden Retriever,Largo,Dorado,Macho,15
1184,Schnauzer,Largo,Blanco,Hembra,16
1186,american bully pocket,Corto,Negro,Hembra,8
1187,French Podde,,Beige,Macho,
1188,Schnauzer,Largo,,,16
1192,Pug,Corto,Crema,,15
1193,Bulldog Francés,Corto,Coral claro,Macho,14
1194,French Minitoy,Corto,Blanco,Macho,12
1195,American Staffordshire Terrier,Corto,café,Macho,15
1196,American Staffordshire Terrier,Corto,Rayado,Macho,15
1197,American Staffordshire Terrier,Corto,Negro,Macho,15
1198,American Staffordshire Terrier,Corto,Crema,Macho,15
1199,Beagle,Corto,Blanco,Macho,14
1200,French poodle mini toy,Corto,Blanco,Macho,15
1201,french,Corto,blanco y beagel,Hembra,16
1203,Pug,Corto,Negro,Hembra,15
1204,San Bernardo,Largo,Blanco y rojo,Macho,12
1205,Pitbull terrier,Corto,Dorado oscuro,Macho,12
1206,Haski,Corto,,Hembra,12
1207,Golden,Corto,Crema,Macho,10
1208,SALCHICHAS,Corto,NEGRO Y CAFE,,2
1210,French poodle minitoy,Largo,Blanco,Hembra,20
1211,French poodle minitoy,Largo,Marrón oscuro,Hembra,20
1212,Chihuahua,Corto,Nude,,20
1213,Pitbull,Corto,Plateado,Macho,14
1214,Bulldog Francés,Corto,Blanco,Macho,14
1217,frech poodle,Largo,Blanco,Hembra,18
1218,Husky Siberiano,Corto,manto plomo o negro,Macho,15
1219,Salchichas mini teckel,Corto,Amarillo,Hembra,15
1220,frech poodle,Largo,Blanco,Hembra,18
1222,shnauzer,Corto,salpimienta blanco y negro,Hembra,16
1223,Bulldog Francés,Corto,,,14
1224,Cachorros Golden Retriever,Largo,beige dorados,Macho,20
1225,Cane Corso,Corto,Gris,Hembra,15
1226,Golden retriver,Corto,,Macho,10
1227,Boxer,Corto,Café,Hembra,10
1230,Bulldog Francés,,Blanco,,
1231,Schnauzer,Largo,Blanco,Macho,16
1232,Bulldog Francés,Corto,Marrón oscuro,Hembra,14
1233,Yorkshire Terrier,Largo,,,16
1235,Bulldog Francés,Corto,,,14
1236,Pitbull,Corto,Marrón claro,Macho,14
1237,Ovejero Alemán,Largo,Negro,,13
1238,Caniche Toy,Largo,Blanco,Hembra,15
1239,American Bully,,gris beige negro con blanco entre otros,,
1241,Lobo woldof,Corto,Crema,Hembra,20
1242,American Bully,Corto,Gris,Macho,12
1243,Bulldog Francés,Corto,Dorado oscuro,,14
1244,Salchichas,Corto,café y negro,Hembra,17
1245,frech poodle,Corto,Blanco,Macho,14
1247,Bichón Frisé,Largo,Blanco,Macho,16
1248,Chihuahua,Corto,Naranja claro,,20
1249,Pug,Corto,Arena,,15
1251,SALCHICHAS,Corto,Dorado oscuro,,15
1252,SHITZU,Largo,Beige,Macho,2
1253,Shnauzer Miniatura,Corto,Blanco,Hembra,13
1254,Bulldog Francés,Corto,Marrón claro,Macho,11
1255,pastor aleman,Largo,Negro,Macho,13
1256,Salchicha teckel,Corto,Café,Hembra,10
1257,American Bully,Corto,Lila,Macho,15
1258,Cachorritos shitzu,Largo,Tricolor,Hembra,15
1259,Shnauzer blanco,Largo,,Hembra,10
1260,Shitzu,Largo,Tricolor,Macho,15
1262,Chihuahua,Corto,negro y amarillo,Macho,20
1263,Yorkshire Terrier,Largo,,,16
1264,Bulldog Inglés,Corto,Chocolate,,10
1266,Chihuahua,Corto,varios,Hembra,20
1267,Gran Danés,Corto,Merle,Macho,11
1270,Cachorros French poodle minitoy tasita de te,Largo,Blanco,Macho,20
1271,frech poodle,Corto,Blanco,Macho,14
1272,Yorkshire Terrier,Largo,Negro,,16
1273,Husky Siberiano,Corto,Gris,Hembra,1
1274,french,Corto,blanco y beagel,Hembra,16
1275,felpa,,,,
1276,Border Collie,Largo,Blanco y negro,Macho,12
1278,Pekinés,Largo,Blanco,,14
1279,Husky Siberiano,Corto,Crema,,15
1280,Pomerania,Largo,Blanco,Hembra,16
1281,Cachorros Schnauzer miniatura,Largo,sal pimienta,Hembra,20
1282,Pinscher Miniatura,Corto,NEGRO FUEGO Y CAFE,,12
1283,Hermosos cachorros schnauzer miniatura blancos  y sal pimienta,Largo,Blanco,Macho,20
1285,Dálmata,,Blanco,Macho,
1286,Pitbull,Corto,Blanco,,14
1287,Ovejero Alemán,Largo,,,13
1289,French poodle minitoy,Corto,Beige,Macho,17
1290,Schnauzer miniatura,Corto,salpimienta,Macho,17
1291,Dogo Argentino,Corto,Blanco,Macho,12
1293,Dogo Argentino,,Blanco,,
1294,Bulldog Francés,Corto,gris y negro,Hembra,10
1296,Mastín Napolitano,Corto,Beige,Macho,12
1297,Shnauzer blancos,Largo,,Hembra,10
1298,Bulldog Francés,Corto,Marrón oscuro,,14
1300,Ovejero Alemán,Largo,Negro,Macho,13
1301,frech poodle,Corto,Blanco,Macho,14
1302,frech poodle,Corto,Blanco,Macho,14
1304,Labrador Retriever,Corto,Beige,,14
1305,Golden Retriever,Largo,Crema,,12
1306,pastor aleman,Largo,Negro,Macho,13
1307,Labrador,Corto,Beige,Macho,12
1308,Bulldog Francés,Corto,Negro,,14
1309,Salchicha Teckel,Corto,Negro,Macho,10
1311,Golden Retriever,Corto,Beige,Macho,15
1312,Doberman,Corto,Negro,,13
1313,Boxer,Corto,leonado,Macho,12
1314,Boyero de Berna,Largo,"Blanco, negro y fuego",Macho,12
1315,Ovejero Alemán,Largo,,,13
1316,Schnauzer miniaturas,Largo,Negro,Hembra,20
1318,French poodle minitoy,Largo,Blanco,Hembra,20
1319,Bulldog Inglés,Corto,café,Macho,10
1320,Maltés,Largo,Blanco,Macho,18
1321,Chihuahua,Corto,Blanco,Hembra,20
1322,American Bully,Corto,Negro,Hembra,10
1324,Pomerania,Largo,Naranja claro,,16
1325,Cachorros Pastor aleman puros,Largo,Negro/Fuego,Macho,20
1326,Golden machos y hembras,Largo,Beige,Hembra,20
1328,Bulldog Inglés,Corto,Blanco,Macho,10
1329,Husky Siberiano,Corto,Gris,Hembra,15
1330,frech poodle,Corto,Blanco,Macho,14
1333,frech poodle,Largo,Blanco,Hembra,18
1335,Chihuahua,Largo,Chocolate,Macho,12
1337,Shitzu tricolor,Largo,Tricolor,Macho,15
1338,Weimaraner,,Gris,Macho,14
1339,Yorkies terrier,Largo,Negro,Hembra,15
1340,Rottweiler,Corto,Negro,Macho,11
1341,Frech minitoy,Corto,,Macho,10
1342,Schnauzer miniaturas,Largo,Blanco,Hembra,20
1343,Chihuahua,Corto,Negro,Macho,15
1344,Chihuahua,Corto,Beige,Hembra,15
1346,Pitbull,Corto,negro y blanco con negro,Macho,14
1349,frech poodle,Corto,Blanco,Macho,14
1350,Terrier Escocés,Largo,Negro,,15
1351,Pekinés,Corto,CAFE Y BLANCO,,15
1353,Yorkshire terrier mini,Largo,Dorado oscuro,Hembra,16
1354,Yorky,Largo,,Macho,16
1355,frech poodle,Largo,Blanco,Hembra,18
1356,golden retrivers,Largo,Dorado,Macho,18
1357,pastor aleman,Largo,Negro,Macho,13
1358,Ovejero Alemán,Largo,Negro,,13
1360,Rottweiler,Corto,Negro,Hembra,10
1361,Cachorros Golden Retriever,Largo,Dorado,Hembra,20
1362,Rottweiler,Corto,Negro,Macho,10
1363,Shnauzer blsnco,Largo,,Macho,12
1364,Jack Russell,Corto,Blanco,Macho,12
1365,Frech minitoy,Corto,,Macho,12
1367,Golden Retriever,Largo,Beige,Hembra,20
1368,Golden Retriever,Largo,Beige,,12
1369,Pug,Corto,Beige,Macho,15
1370,Chihuahua,Corto,Crema,Hembra,20
1371,Husky Siberiano,Corto,Blanco,,15
1372,Schnauzer miniatura,Largo,sal pimienta,Hembra,20
1373,Yorkie,Largo,Negro/Fuego,Hembra,15
1374,French,Largo,Blanco,Macho,16
1376,Schnauzer,Largo,Blanco,,15
1377,Husky Siberiano,Corto,Negro,Hembra,15
1378,frech poodle,Corto,Blanco,Macho,14
1380,Bulldog Inglés,Corto,Blanco,,14
1381,SHITZU,,Chocolate,Hembra,
1383,Pug,Corto,Beige,Macho,15
1384,Bichón Maltés,Largo,Blanco,Hembra,15
1385,Shitzu,Largo,Marrón claro,Macho,17
1386,Yorkshire Terrier,Largo,Negro,,16
1387,Schnauzer miniatura blanco,Largo,Blanco,Macho,15
1388,Golden Retriver,Largo,Dorado,Macho,1
1389,Bulldog Inglés,Corto,Índigo,Macho,10
1390,Yorshire shire,Largo,Negro - Fuego,Macho,13
1391,Shitzu Miniatura,Corto,Tricolor,Macho,12
1392,pastor aleman,Largo,Negro/Fuego,Macho,13
1393,frech poodle,Corto,Blanco,Macho,14
1394,Pastor Alemán,Largo,Negro/Fuego,Macho,13
1396,Bichón Maltés,Largo,Blanco,,15
1397,Bulldog Inglés,Corto,Negro,,14
1398,Bulldog Inglés,Corto,Blanco,,14
1403,Bulldog Francés,Corto,Negro,Macho,14
1404,Husky,Largo,Negro,Macho,15
1406,Cachorros Schnauzer Miniatura sal pimienta,Largo,sal pimienta,Hembra,20
1407,Rough Collie,Largo,Rojo y blanco,Macho,12
1408,Pequines cabesa de leon,Largo,Café claro,Hembra,14
1409,Gran Danés,Corto,Dorado,Macho,12
1410,Shnauzer Miniatura,Corto,Blanco,Macho,13
1411,Shitzu minitoy,Largo,Tricolor,Hembra,20
1412,West highland terrier,Largo,Blanco,Hembra,20
1414,Pastor alemán,Largo,Blanco,Macho,20
1415,shitzu,Largo,Bordó,Hembra,16
1416,Pincher miniatura,Corto,Negro,Hembra,18
1418,Bulldog Francés,Corto,Blanco,,14
1421,Shihtzu y Bulldog Inglés,,Beige,Hembra,
1424,Schnauzer miniatura,Largo,blanco sal pimienta,Macho,15
1425,pug carlino,Corto,Beige,Hembra,15
1426,Ovejero Alemán,Largo,,,13
1427,Pastor aleman,Largo,Negro,,13
1428,Pastor Inglés,Largo,Bicolor,,14
1429,pastor aleman,Largo,Negro/Fuego,Macho,13
1430,Beagle,Corto,Blanco,Macho,15
1431,French poodle,,Negro,Hembra,
1432,Golden Retriever,Largo,Dorado,Macho,15
1433,Schnauzer miniatura sal pimienta,Largo,sal pimienta,Macho,15
1434,Golden retriver,Corto,,Macho,12
1436,Pomerania,Largo,Crema,,16
1437,Frech minitoy,Corto,,Hembra,12
1438,Chihuahua,Corto,Blanco,Macho,20
1439,Akita,Corto,Gris,Macho,12
1441,Shnauzer,Largo,,Macho,10
1443,Pitbull,Corto,Blanco,,14
1444,Pomerian lulú,Largo,Blanco,Macho,15
1445,French poodle minitoy,Largo,Blanco,Hembra,20
1447,Pastor alemán,Corto,Negro,Macho,12
1448,Pekinés,Largo,Marrón oscuro,,14
1451,Bulldog Francés,Corto,Negro,,14
1452,Schnauzer,Largo,Blanco,Hembra,16
1453,Schnauzer,Largo,Gris,Macho,14
1454,French poodle mini toy,Corto,Blanco,Macho,15
1455,Pastor Aleman,Corto,Negro,Macho,13
1456,Schnauzer,Corto,Plateado,Macho,16
1457,French mini toy,Corto,Blanco,Macho,14
1459,Husky Siberiano,Corto,Bicolor,,15
1460,Chihuahua,Corto,Negro,,20
1461,Golden Retriever,Largo,Crema,Macho,12
1462,pastor aleman,Largo,Negro,Macho,13
1463,Yorkshire Terrier,Largo,,,16
1464,frech poodle,Largo,Blanco,Hembra,18
1465,Schnauzer,Largo,Blanco,,15
1466,Schnauzer miniatura,Largo,salpimienta,Macho,15
1467,Schnauzer,Corto,Blanco,,20
1468,French Minitoy,Corto,Blanco y Beige,Hembra,12
1469,French,Corto,Blanco,Macho,13
1471,Schnauzer miniatura sal pimienta,Corto,sal pimienta,Macho,15
1473,Schnauzer,Largo,BLANCO NEGRO SAL Y PIMIENTA,Macho,16
1474,shnauzer,Corto,salpimienta blanco y negro,Hembra,16
1475,Pekinés,Largo,Blanco,,14
1476,Yorkshire Terrier,Largo,Negro,Macho,16
1477,Bichón Maltés,Largo,Blanco,Macho,12
1478,Beagle,Corto,Tricolor,,15
1479,Fila Brasilero,Corto,Dorado oscuro,Macho,14
1480,Bichón Maltés,Largo,Blanco,,2
1481,Bichon maltés miniaturas,Largo,Blanco,Hembra,20
1482,Bichón Frisé,Largo,Blanco,Hembra,20
1483,Beagle,Corto,Tricolor,,15
1485,frech poodle,Corto,Blanco,Macho,14
1487,Chihuahua,Corto,Blanco,,20
1488,Bulldog Francés,Corto,Azul marino,,14
1489,Bulldog Inglés,,Blanco,Macho,
1490,Shnauzer,Largo,,Macho,10
1491,Husky Siberiano,Largo,manto negro,Hembra,20
1492,Bichon maltés miniaturas,Largo,Blanco,Hembra,20
1493,Golden Retriever,Largo,Beige,Hembra,20
1494,French poodle minitoy,Largo,Blanco,Hembra,20
1495,Pinscher Miniatura,Corto,Marrón,Macho,16
1496,Yorkiterrier,Corto,Azul acero,Hembra,15
1498,Chihuahua,,Blanco,Macho,
1499,Pitbull,Corto,Blanco,Hembra,15
1501,Schnauzer,Largo,sal pimienta,Macho,16
1502,Golden,Largo,Beige,Macho,16
1503,Shnauzer,Largo,,Macho,10
1504,Bulldog Inglés,Corto,Tricolor,Macho,10
1505,Frech minitoy,Corto,,Macho,10
1506,Znaucher,Largo,Gris oscuro,Macho,12
1507,Shitzu,,cafes,Hembra,
1509,Chihuahua,Corto,Blanco,Hembra,20
1510,frech poodle,Corto,Blanco,Macho,14
1511,Golden Retriever,Largo,Dorado,Macho,12
1513,frech poodle,Largo,Blanco,Hembra,18
1514,frech poodle,Largo,Blanco,Hembra,18
1515,Schnauzer,Largo,SAL PIMIENTA,,15
1516,Schnauzer,Largo,Blanco,,15
1517,Shih Tzu,Largo,Blanco,Macho,16
1518,Bichón Maltés,Largo,Blanco,,2
1519,Golden Retriever,Largo,Dorado,Macho,15
1523,french,Corto,blanco beagel,Macho,16
1524,Bichón Maltés,Largo,Blanco,Macho,15
1525,Pug,Corto,Negro,,15
1526,Husky Siberiano,Largo,Husky siberiano,Macho,15
1528,Doberman,Corto,Negro,Macho,15
1529,Shar Pei,Corto,Beige,Macho,16
1530,Pinscher Miniatura,Corto,Negro,Macho,16
1531,Ovejero Alemán,,Negro,Macho,
1532,Shitzu,Largo,,Macho,12
1534,Parson Russell Terrier,Corto,Blanco,Macho,12
1535,Shnauzer,Largo,,Macho,10
1536,French Minitoy,Corto,Beige,Hembra,12
1537,Frech minitoy,,,Hembra,
1538,Frech minitoy,Corto,,Hembra,10
1541,Pug,Corto,Caqui,,15
1542,Shnauzer,Largo,,Macho,10
1543,Husky Siberiano,Corto,negro con blanco,,15
1544,Golden retriver,Largo,Dorado oscuro,Hembra,17
1545,Beagle tricolor,Corto,,Hembra,15
1546,frech poodle,Corto,Blanco,Hembra,20
1547,Yorky,Largo,,Hembra,16
1548,Husky,Corto,Blanco,Macho,15
1549,pastor aleman,Largo,Negro/Fuego,Macho,13
1550,Hermosos cachorros schnauzer miniatura blancos salpimienta y negros,Largo,blancos salpimienta negros,Macho,20
1553,Husky Manto Rojo,Largo,Café,Hembra,15
1554,Pekinés,Largo,Blanco,,14
1556,Terranova,Largo,Negro,Macho,14
1557,Dogo de Burdeos,Corto,Dorado oscuro,Macho,14
1559,Pitbull,Corto,café claro con blanco,Macho,14
1560,Golden Retriever,Largo,Beige,Macho,14
1561,Shnauzer,Largo,,Hembra,12
1562,Pekinés,Largo,Blanco,,14
1563,frech poodle,Corto,Blanco,Macho,14
1564,Yorkshire Terrier,Largo,Negro/Fuego,,15
1565,Akita Americano,Corto,Tricolor,,15
1566,golden retrivers,Largo,Dorado,Macho,18
1567,pastor aleman,Largo,Negro,Macho,13
1568,frech poodle,Largo,Blanco,Hembra,18
1570,Pequinés,Largo,Blanco,Macho,17
1571,Shnauzer,Largo,,Macho,12
1575,Golden Retriever,Largo,Dorado,Macho,15
1577,Schnauzer miniatura sal pimienta,Largo,sal pimienta,Macho,15
1580,Golf en retriver,Largo,Beige,Hembra,17
1581,french,Corto,blanco y beagel,Hembra,16
1582,Schnauzer miniatura,Corto,salpimienta,Hembra,17
1583,french,Corto,blanco y beagel,Hembra,16
1586,Chow Chow,Corto,Marrón,Macho,15
1587,Bichón Frisé,Largo,Negro,Macho,16
1588,Husky Siberiano,Largo,Blanco,Hembra,15
1589,Pastor australiano ovejero,Largo,Blanco y gris,Macho,12
1590,Pitbull,Corto,Gris oscuro,Hembra,20
1591,Beagle,Corto,Blanco,Hembra,15
1592,Shitzu,Largo,,Macho,12
1593,Husky Siberiano,Corto,Blanco con negro,Macho,14
1594,SHITZU,Corto,COMBINADO,Macho,15
1595,Shnauzer,Largo,Blanco,Macho,10
1596,French Poodle mini toy,,Blanco,Hembra,
1597,Bulldog Inglés,Corto,blanco con cafe,Macho,10
1598,Shih Tzu,Largo,Blanco,,16
1599,frech poodle,Corto,Blanco,Macho,14
1600,Bulldog Inglés,Corto,Blanco,Macho,10
1602,Cachorros Bichón Maltés Tea cup tasita de te,Largo,Blanco,Macho,20
1604,Chihuahua,Corto,Beige,Macho,20
1606,Scotish terrier,Largo,Negro,Hembra,12
1607,pug carlino,Corto,Beige,Hembra,15
1609,Boston Terrier,Corto,Rojo,,15
1610,Ovejero Alemán,Largo,,,13
1611,Bulldog Francés,Corto,,,14
1612,Cocker Spaniel,Largo,Dorado,Macho,14
1613,TECKEL,Corto,Negro,Macho,8
1614,Cachorros Schnauzer Miniatura blancos,Largo,Blanco,Macho,20
1615,Schnauzer,Largo,sal pimienta,Hembra,30
1616,Piquines,Largo,café,Hembra,10
1617,Maltés/fresh,Corto,Beige,Hembra,13
1619,Husky Siberiano,Corto,manto plomo o negro,Macho,15
1620,Pitbull,Corto,Plateado,,14
1621,Schnauzer miniaturas,Largo,Blanco,Hembra,20
1622,Shitzu minitoy,Largo,Tricolor,Hembra,20
1623,Pitbull,Corto,Blanco,Hembra,14
1624,Chihuahua,Corto,Crema,Hembra,20
1626,Pekinés,Largo,Tres Colores,Macho,15
1629,Pug calino,Corto,Crema,Hembra,17
1630,Shitzu,Largo,Blanco,Macho,15
1631,French,Corto,Blanco,Hembra,16
1632,Cachorros Schnauzer miniatura,Largo,Blanco,Hembra,20
1633,Golden retrievers Raza pura,Largo,Beige,Hembra,15
1634,Schnauzer miniatura,Corto,salpimienta,Macho,17
1635,Chihuahua cabeza de manzana,Corto,Blanco,Macho,15
1637,Husky Siberiano,Corto,Blanco con negro,,15
1638,Pastor alemán,Largo,Negro/Fuego,Hembra,15
1639,Pequinés,Corto,,Macho,10
1640,Chihuahua,Largo,Chocolate,Macho,12
1641,Schnauzer Mini,Largo,SAL PIMIENTA,,2
1643,Schnauzer,Largo,Blanco,Hembra,20
1644,Beagle,Corto,Tricolor,Hembra,15
1645,Bichón Maltés,Largo,Blanco,Hembra,20
1646,Cocker,Largo,Blanco,Hembra,20
1647,Shih Tzu,Largo,Gris,,16
1649,Yorkshire Terrier,Largo,Marrón,Macho,16
1650,Shih Tzu,Largo,Bicolor,Hembra,12
1651,Pug carlino,Corto,Beige,Macho,12
1652,Yorkshire Terrier,Largo,café,,16
1654,Cachorros Schnauzer miniatura,Largo,Blanco,Macho,20
1657,Bulldog Inglés,Corto,Chocolate,,10
1658,Bichon maltes frise,Largo,blancos,Macho,15
1659,Bulling,Corto,Blanco,Macho,12
1660,Bulldog Inglés,Corto,Blanco,Macho,10
1662,Husky Siberiano,Corto,manto plomo o negro,Macho,15
1664,frech poodle,Largo,Blanco,Hembra,18
1665,Salchicha,Corto,Negro,Hembra,20
1666,Bichón Maltés,Largo,Blanco,Hembra,15
1667,frech poodle,Largo,Blanco,Hembra,18
1669,Pug carlino,Corto,Marrón claro,Hembra,15
1672,French,Corto,blanco y beagel,Hembra,12
1673,Husky Siberiano,Corto,manto negro o gris,Macho,15
1674,Cachorros,Corto,Blanco,Hembra,12
1675,French,Corto,Blanco,Macho,16
1676,shnauzer,Corto,salpimienta blanco y negro,Hembra,16
1677,Schnauzer,Corto,Gris,Hembra,16
1678,Shitzu Miniatura,Corto,Bicolor,Hembra,13
1679,Yorkshire Terrier,Largo,Negro,Macho,16
1680,Husky Siberiano,Corto,Negro,Macho,12
1681,Yorkshire Terrier,Largo,Negro,,16
1682,TECKEL SALCHICHA,,Negro/Fuego,Hembra,
1684,Bull Terrier,Corto,Blanco,Hembra,14
1686,Husky Siberiano,Corto,café,Hembra,15
1687,Yorkshire Terrier,Largo,Dorado,Macho,16
1688,Boston Terrier,Corto,Blanco y negro,Macho,12
1689,Doberman,Corto,Negro con café,Macho,13
1690,Shnauzer,Largo,,Macho,12
1692,Shnauzer,Largo,,Macho,12
1693,Shnauzer,Largo,,Macho,12
1694,Schnauzer Mini,Largo,BLANCO Y SAL PIMIENTA,,15
1695,pastor aleman,Largo,Negro,Macho,13
1697,Bulldog Francés,Corto,,,14
1698,frech poodle,Largo,Blanco,Hembra,18
1699,frech poodle,Corto,Blanco,Hembra,20
1700,frech poodle,Largo,Blanco,Hembra,18
1701,frech poodle,Corto,Blanco,Macho,14
1703,French,Corto,,Hembra,12
1704,French,Corto,Blanco,Hembra,2
1705,Golden Retriever,Corto,Dorado,Macho,15
1706,Pekinés,Largo,Blanco,,14
1707,Golden Retriever,Largo,Dorado oscuro,Macho,15
1708,Shitzu miniatura,Largo,Tricolor,Macho,15
1709,Schnauzer miniatura sal pimienta,Largo,sal pimienta,Macho,15
1710,Schnauzer,Largo,Blanco,Macho,16
1712,french,Largo,blancos y beagel,Hembra,16
1714,Schnauzer,Largo,salpimienta,Macho,16
1715,Frech minitoy,Corto,Blanco,Macho,10
1716,Gran Danés,Corto,Blanco,,8
1717,Golden Retriever,Corto,Dorado,Hembra,10
1718,Jack Russell Terrier,Corto,Blanco,Macho,15
1719,Pekinés,Largo,Marrón claro,,14
1720,Pomerania,Largo,Blanco,Macho,16
1722,PINCHER,Corto,TIPO VAQUITA,Macho,14
1724,Golden Retriever,Corto,Beige,Macho,12
1725,Shnauzer sal pimienta,Largo,,Macho,12
1726,Pomerania,Largo,Dorado oscuro,Macho,12
1727,Husky Siberiano -,Largo,Blanco,Macho,15
1728,Fox Terrier,Corto,Blanco,Macho,14
1730,Pekinés,Largo,Blanco,Macho,14
1731,Chihuahua,Corto,Marrón claro,Hembra,20
1732,Pastor Alemán,Corto,Blanco,Macho,12
1733,Husky Siberiano,Corto,Rojo,Macho,12
1735,Husky Siberiano,Corto,Dorado,Macho,12
1736,Labrador Retriever,Corto,Beige,Macho,12
1737,Pequines,Largo,Blanco,Macho,15
1739,Shnauzer,Largo,,Macho,10
1740,Pug Carlino,Corto,Beige,Macho,12
1741,Bullmastiff,Corto,Dorado oscuro,Macho,12
1742,Bulldog Inglés,Corto,Blanco,,10
1743,Chihuahua mini toy,Corto,Negro,Macho,20
1746,Bulldog Inglés,Corto,,Macho,10
1747,Shitzu,Largo,,Macho,10
1750,Chihuahua,Corto,Blanco,Macho,20
1751,French poodle minitoy,Largo,Blanco,Hembra,20
1752,Husky,Corto,Gris oscuro,Macho,14
1753,Husky Siberiano,Corto,Negro,Hembra,15
1754,Golden,Corto,Blanco,Hembra,10
1755,Bichón Frisé,Largo,Blanco,,
1757,Chihuahua,Corto,Crema,Hembra,20
1758,Beagle,Corto,Marrón claro,Macho,15
1760,PASTOR ALEMAN,Corto,Rojizo,Macho,12
1761,Schnauzer,Largo,Blanco,Macho,15
1764,frech poodle,Corto,Blanco,Macho,14
1765,Bichón Maltés,Corto,Blanco,Macho,12
1767,FRENCH POODLE,Corto,Chocolate,,20
1768,Schnauzer,Largo,sal pimienta,Macho,16
1770,Beagle,Corto,Tricolor,Macho,15
1771,Schnauzer machos y hembras,Largo,Blanco,Hembra,20
1772,Schnauzer,Largo,Blanco,Macho,16
1773,Shih Tzu,Largo,Blanco,Macho,16
1774,Shnauzer,Largo,,Hembra,10
1775,Schnauzer,Corto,Gris oscuro,Hembra,12
1777,Husky Siberiano,Corto,Gris,,15
1779,Schnauzer,Corto,Blanco,Macho,12
